source,target,condition,significance,log2fc,level,n_cells_condition,n_cells_control,cell_line
HAUS3,CRNKL1,HAUS3+ctrl,0.6040806221312014,0.14329314,No,40,11485,K562
HAUS3,SNRNP48,HAUS3+ctrl,0.8080964011104318,0.16613817,No,40,11485,K562
GPS2,TBC1D9B,GPS2+ctrl,0.0121556143627221,0.5278758,Yes,127,11485,K562
GPS2,F2R,GPS2+ctrl,0.0048936796198457,0.5039952,Yes,127,11485,K562
GPS2,SAP130,GPS2+ctrl,0.0499025801044234,0.87518835,Yes,127,11485,K562
GPS2,MCC,GPS2+ctrl,0.7464599494585518,-0.19959188,No,127,11485,K562
GPS2,GRN,GPS2+ctrl,0.9457179524301425,-0.02530098,No,127,11485,K562
GPS2,KMT5A,GPS2+ctrl,0.735842355160798,-0.085217476,No,127,11485,K562
MALSU1,SUGP1,MALSU1+ctrl,0.0352269626549653,0.73635006,Yes,170,11485,K562
MALSU1,AC037198.1,MALSU1+ctrl,0.0152463653870103,0.9563868,Yes,170,11485,K562
MALSU1,MT-ATP8,MALSU1+ctrl,2.6004821824343184e-12,0.8855782,Yes,170,11485,K562
MALSU1,NANS,MALSU1+ctrl,0.920870453459587,4.0754676e-06,No,170,11485,K562
MALSU1,ARV1,MALSU1+ctrl,0.8037533405899966,0.10960078,No,170,11485,K562
MALSU1,KAT8,MALSU1+ctrl,0.9469337127060048,-0.053702354,No,170,11485,K562
SRSF11,SUGCT,SRSF11+ctrl,0.040727956869866,0.55384016,Yes,317,11485,K562
SRSF11,C11orf54,SRSF11+ctrl,0.0482586357538496,0.6689191,Yes,317,11485,K562
SRSF11,HSD17B11,SRSF11+ctrl,0.0206793388757539,0.5208292,Yes,317,11485,K562
SRSF11,TET1,SRSF11+ctrl,0.8840575790660492,-0.093868494,No,317,11485,K562
SRSF11,ATP6V1H,SRSF11+ctrl,0.0414589079258057,0.20502245,No,317,11485,K562
SRSF11,YIPF6,SRSF11+ctrl,0.4034679487179918,0.09282982,No,317,11485,K562
POLR3C,WDR45B,POLR3C+ctrl,0.0140997612887539,0.6689776,Yes,45,11485,K562
POLR3C,PTX3,POLR3C+ctrl,0.0460173279135254,0.65622807,Yes,45,11485,K562
POLR3C,LMO4,POLR3C+ctrl,0.0483449700222565,0.6273556,Yes,45,11485,K562
POLR3C,HEATR5A,POLR3C+ctrl,0.6456981077265787,0.5068829,No,45,11485,K562
POLR3C,COPS7B,POLR3C+ctrl,0.8436050886591174,-0.23923159,No,45,11485,K562
POLR3C,STK24,POLR3C+ctrl,0.93000467730886,-0.04115957,No,45,11485,K562
MEN1,COL13A1,MEN1+ctrl,0.0037421591679607,0.68739724,Yes,100,11485,K562
MEN1,MIR210HG,MEN1+ctrl,0.0358255908971581,0.58001125,Yes,100,11485,K562
MEN1,PLSCR3,MEN1+ctrl,0.0095187509217194,0.6552758,Yes,100,11485,K562
MEN1,DUT,MEN1+ctrl,0.5637870177461826,0.01858756,No,100,11485,K562
MEN1,IL10RB,MEN1+ctrl,0.9142548372046128,-0.050334215,No,100,11485,K562
MEN1,TMEM254,MEN1+ctrl,0.896625210049757,-0.019167185,No,100,11485,K562
DDX46,BCL2L1,DDX46+ctrl,4.088448823568414e-06,0.6610472,Yes,225,11485,K562
DDX46,PNRC1,DDX46+ctrl,5.039002582903194e-05,0.7073604,Yes,225,11485,K562
DDX46,CMBL,DDX46+ctrl,0.0361030899326907,0.5626061,Yes,225,11485,K562
DDX46,ZNF605,DDX46+ctrl,0.8951076614782315,-0.14604878,No,225,11485,K562
DDX46,SENP6,DDX46+ctrl,0.954441303795785,-0.035732865,No,225,11485,K562
DDX46,CXXC1,DDX46+ctrl,0.7199364931226053,0.18896031,No,225,11485,K562
FBXO42,HSF2BP,FBXO42+ctrl,0.0121727605741477,0.50189257,Yes,883,11485,K562
FBXO42,EEPD1,FBXO42+ctrl,0.0060620795499719,0.5443466,Yes,883,11485,K562
FBXO42,TNNT1,FBXO42+ctrl,4.075415988399272e-06,0.8469262,Yes,883,11485,K562
FBXO42,GNPDA2,FBXO42+ctrl,0.2960827071396364,0.11158657,No,883,11485,K562
FBXO42,STK39,FBXO42+ctrl,0.9995863877542672,0.008125901,No,883,11485,K562
FBXO42,ARL5B,FBXO42+ctrl,0.8354657400819417,0.013241291,No,883,11485,K562
PGAM5,ZBTB40,PGAM5+ctrl,0.045227099470936,0.7473419,Yes,182,11485,K562
PGAM5,ZNF605,PGAM5+ctrl,0.0402159424588111,0.6112077,Yes,182,11485,K562
PGAM5,KDM3A,PGAM5+ctrl,0.0061293280131564,0.5477829,Yes,182,11485,K562
PGAM5,PYROXD1,PGAM5+ctrl,0.2798626260073255,0.18046641,No,182,11485,K562
PGAM5,LINC02802,PGAM5+ctrl,0.4201029557013725,0.2119056,No,182,11485,K562
PGAM5,TRIM27,PGAM5+ctrl,0.1821469016774145,0.17460191,No,182,11485,K562
TFAM,CA9,TFAM+ctrl,5.721641392844549e-13,0.5134468,Yes,3580,11485,K562
TFAM,MYH9,TFAM+ctrl,0.0007907047465915,0.02916348,No,3580,11485,K562
TFAM,RBM18,TFAM+ctrl,0.3501773170203625,0.07337117,No,3580,11485,K562
TFAM,VPS53,TFAM+ctrl,0.4638236981469115,0.032348514,No,3580,11485,K562
NOLC1,TP53INP1,NOLC1+ctrl,0.0174122112799739,2.0705905,Yes,39,11485,K562
NOLC1,TMEM63B,NOLC1+ctrl,0.0060526697241367,1.0370426,Yes,39,11485,K562
NOLC1,LIMK2,NOLC1+ctrl,0.01079137724768,0.7015027,Yes,39,11485,K562
NOLC1,REEP3,NOLC1+ctrl,0.9156219697135388,0.068021595,No,39,11485,K562
NOLC1,PIK3R1,NOLC1+ctrl,0.633153066334691,0.17942166,No,39,11485,K562
NOLC1,TIMM17A,NOLC1+ctrl,0.0044212627506983,0.39492086,No,39,11485,K562
SERBP1,INTS3,SERBP1+ctrl,0.0249633844892014,0.74544024,Yes,102,11485,K562
SERBP1,FGF1,SERBP1+ctrl,0.0275660922384152,0.58420336,Yes,102,11485,K562
SERBP1,SEMA7A,SERBP1+ctrl,0.0006664435380517,0.6373987,Yes,102,11485,K562
SERBP1,DRAP1,SERBP1+ctrl,0.0041716831868855,0.08041155,No,102,11485,K562
SERBP1,ABCB8,SERBP1+ctrl,0.4585101844805539,0.317168,No,102,11485,K562
SERBP1,TPST1,SERBP1+ctrl,0.9537669845296036,0.103135586,No,102,11485,K562
NDUFA4,PTPN23,NDUFA4+ctrl,0.0327777279445562,0.7491677,Yes,115,11485,K562
NDUFA4,RSBN1L,NDUFA4+ctrl,0.0077000434568438,0.57150364,Yes,115,11485,K562
NDUFA4,TRABD,NDUFA4+ctrl,0.0459138266358088,0.5170238,Yes,115,11485,K562
NDUFA4,HELLS,NDUFA4+ctrl,0.9663602253488884,-0.009877205,No,115,11485,K562
NDUFA4,INIP,NDUFA4+ctrl,0.1705553684783584,0.49568152,No,115,11485,K562
NDUFA4,CCDC77,NDUFA4+ctrl,0.6993309202086258,0.20697856,No,115,11485,K562
CCDC6,SHISA2,CCDC6+ctrl,0.0009185101779624,0.5980189,Yes,1086,11485,K562
CCDC6,AMTN,CCDC6+ctrl,6.8226061311081745e-09,1.0041785,Yes,1086,11485,K562
CCDC6,ITGA11,CCDC6+ctrl,2.595586963423616e-07,0.5861987,Yes,1086,11485,K562
CCDC6,COPS3,CCDC6+ctrl,0.0115736891111445,0.10686833,No,1086,11485,K562
CCDC6,GNB1,CCDC6+ctrl,0.9512514624061418,-0.004233457,No,1086,11485,K562
CCDC6,PAK1,CCDC6+ctrl,0.4254139233940193,0.059064507,No,1086,11485,K562
ADRM1,TMEM167B,ADRM1+ctrl,0.0021473087445665,0.88456583,Yes,85,11485,K562
ADRM1,FBXO32,ADRM1+ctrl,0.0032965473337795,0.5170902,Yes,85,11485,K562
ADRM1,ZNF503,ADRM1+ctrl,0.0016379420854638,0.7186245,Yes,85,11485,K562
ADRM1,MARK4,ADRM1+ctrl,0.1042435380830454,0.5733254,No,85,11485,K562
ADRM1,UBE2G1,ADRM1+ctrl,0.1944437705566102,0.32356906,No,85,11485,K562
ADRM1,FAM200B,ADRM1+ctrl,0.1039069351123578,0.21134108,No,85,11485,K562
RUVBL2,ITGA11,RUVBL2+ctrl,0.0237104800951772,1.0137731,Yes,64,11485,K562
RUVBL2,GFM1,RUVBL2+ctrl,0.0296895171092475,0.71519125,Yes,64,11485,K562
RUVBL2,DAAM1,RUVBL2+ctrl,0.0084261678374966,0.7956729,Yes,64,11485,K562
RUVBL2,SAMD9L,RUVBL2+ctrl,0.8248948711466569,0.093346834,No,64,11485,K562
RUVBL2,WRN,RUVBL2+ctrl,0.7889996324702588,-0.23963857,No,64,11485,K562
RUVBL2,COPE,RUVBL2+ctrl,0.0236524430434295,0.14589906,No,64,11485,K562
PRC1,TMEM45A,PRC1+ctrl,0.016665533134273,1.130065,Yes,54,11485,K562
PRC1,FLYWCH2,PRC1+ctrl,0.015755100714796,0.5343007,Yes,54,11485,K562
PRC1,RFX7,PRC1+ctrl,0.0207310424895468,1.0870006,Yes,54,11485,K562
PRC1,ENPP1,PRC1+ctrl,0.9634210522987968,-0.19764042,No,54,11485,K562
PRC1,C5orf51,PRC1+ctrl,0.6855004001405085,0.10275078,No,54,11485,K562
PRC1,SCLY,PRC1+ctrl,0.7698676417302904,0.3011675,No,54,11485,K562
TAZ,RNF114,TAZ+ctrl,0.0060507804929076,0.5810566,Yes,98,11485,K562
TAZ,IMPDH1,TAZ+ctrl,0.000399320854234,0.7200347,Yes,98,11485,K562
TAZ,RCOR3,TAZ+ctrl,0.0205974442262369,0.6267575,Yes,98,11485,K562
TAZ,CIT,TAZ+ctrl,0.835848539154803,0.08402908,No,98,11485,K562
TAZ,COG6,TAZ+ctrl,0.7457147330902589,-0.0079882145,No,98,11485,K562
TAZ,TOX2,TAZ+ctrl,0.135188624531916,0.56475115,No,98,11485,K562
ALG2,FAM102A,ALG2+ctrl,0.0392368032508334,1.1711946,Yes,78,11485,K562
ALG2,MON1B,ALG2+ctrl,0.0356793817903745,1.0075469,Yes,78,11485,K562
ALG2,SEC11C,ALG2+ctrl,7.509509151446461e-18,1.4471719,Yes,78,11485,K562
ALG2,TLK2,ALG2+ctrl,0.6707300499232027,-0.07620883,No,78,11485,K562
ALG2,ZNF107,ALG2+ctrl,0.7056901381649308,-0.49449277,No,78,11485,K562
ALG2,TEAD3,ALG2+ctrl,0.7832235304871523,0.21152568,No,78,11485,K562
PSTK,RRM2B,PSTK+ctrl,0.0487009893822007,0.58829737,Yes,287,11485,K562
PSTK,CAMK1D,PSTK+ctrl,0.0023654794814922,1.1410656,Yes,287,11485,K562
PSTK,KDELR3,PSTK+ctrl,0.0002002976096987,0.5475042,Yes,287,11485,K562
PSTK,TRIM23,PSTK+ctrl,0.9070750033797276,-0.0399549,No,287,11485,K562
PSTK,NREP,PSTK+ctrl,0.0882962376884663,0.21676683,No,287,11485,K562
PSTK,ZFAND1,PSTK+ctrl,0.390701033205146,0.13430595,No,287,11485,K562
GEMIN4,SYT11,GEMIN4+ctrl,0.0428329877732856,0.5562928,Yes,82,11485,K562
GEMIN4,POLL,GEMIN4+ctrl,0.0179122781647429,0.923784,Yes,82,11485,K562
GEMIN4,CYBRD1,GEMIN4+ctrl,0.0129486062448972,0.6182039,Yes,82,11485,K562
GEMIN4,SEC24D,GEMIN4+ctrl,0.8109194165740254,-0.028856754,No,82,11485,K562
GEMIN4,LAMTOR3,GEMIN4+ctrl,0.0699941189356038,0.6368226,No,82,11485,K562
GEMIN4,VDAC2,GEMIN4+ctrl,0.0005256232897401,0.10732907,No,82,11485,K562
PPP1R2,MYO6,PPP1R2+ctrl,0.0051341087544866,0.56332314,Yes,82,11485,K562
PPP1R2,FAP,PPP1R2+ctrl,0.0060438110630215,0.5271332,Yes,82,11485,K562
PPP1R2,P3H1,PPP1R2+ctrl,0.0033569288998532,0.77943707,Yes,82,11485,K562
PPP1R2,TWISTNB,PPP1R2+ctrl,0.8112797069623727,0.046752453,No,82,11485,K562
PPP1R2,ACBD6,PPP1R2+ctrl,0.8147688579970156,0.024799764,No,82,11485,K562
PPP1R2,VRK3,PPP1R2+ctrl,0.6377856928451691,-0.20977831,No,82,11485,K562
TRNT1,FBXO25,TRNT1+ctrl,0.0447216917031693,0.7688763,Yes,354,11485,K562
TRNT1,FBN2,TRNT1+ctrl,5.867058063585913e-13,1.5570178,Yes,354,11485,K562
TRNT1,MAP1LC3B,TRNT1+ctrl,7.972219729515423e-118,1.1106308,Yes,354,11485,K562
TRNT1,CTTNBP2NL,TRNT1+ctrl,0.216529627955522,-0.1366086,No,354,11485,K562
TRNT1,AC025171.1,TRNT1+ctrl,0.5458761429536474,-0.17452669,No,354,11485,K562
TRNT1,RAB11FIP3,TRNT1+ctrl,0.2352408919496099,-0.56320715,No,354,11485,K562
TRMT112,ATP6V1H,TRMT112+ctrl,0.0113018596389122,0.5221077,Yes,68,11485,K562
TRMT112,BLCAP,TRMT112+ctrl,0.0012129257595122,1.0592747,Yes,68,11485,K562
TRMT112,AMFR,TRMT112+ctrl,0.0082106408950359,0.95933247,Yes,68,11485,K562
TRMT112,PDLIM7,TRMT112+ctrl,0.0863642093853744,0.19072968,No,68,11485,K562
TRMT112,ASPH,TRMT112+ctrl,0.0062980976197109,0.15136975,No,68,11485,K562
TRMT112,CARMIL1,TRMT112+ctrl,0.1982572943013678,0.5518844,No,68,11485,K562
HEATR1,CAPZA1,HEATR1+ctrl,0.006685180598076,0.56422603,Yes,13,11485,K562
HEATR1,ACTA2,HEATR1+ctrl,0.0355463101951328,1.3332669,Yes,13,11485,K562
HEATR1,IDS,HEATR1+ctrl,0.0078489053778861,0.9917415,Yes,13,11485,K562
HEATR1,SLC7A5,HEATR1+ctrl,0.8839439989129776,-0.117908,No,13,11485,K562
HEATR1,ZNF3,HEATR1+ctrl,0.7187877539278338,0.7359412,No,13,11485,K562
HEATR1,ZNF107,HEATR1+ctrl,0.9144808279264008,0.24534655,No,13,11485,K562
NDUFS5,ARL6IP6,NDUFS5+ctrl,0.0498895082704164,0.5104102,Yes,109,11485,K562
NDUFS5,GALK1,NDUFS5+ctrl,0.0468981649137344,0.5081501,Yes,109,11485,K562
NDUFS5,DCP1A,NDUFS5+ctrl,0.028974837101021,0.64386463,Yes,109,11485,K562
NDUFS5,FGFRL1,NDUFS5+ctrl,0.8191484632810074,0.03611231,No,109,11485,K562
NDUFS5,PPP1R13L,NDUFS5+ctrl,0.199921696050887,0.4103856,No,109,11485,K562
NDUFS5,ATP6V1A,NDUFS5+ctrl,0.2579840571952697,0.29145336,No,109,11485,K562
CAMLG,ARHGEF10,CAMLG+ctrl,0.0230815793083611,0.5082332,Yes,161,11485,K562
CAMLG,PWWP2A,CAMLG+ctrl,0.0137984378851169,0.513747,Yes,161,11485,K562
CAMLG,ELOVL6,CAMLG+ctrl,5.28899526293588e-07,0.6135132,Yes,161,11485,K562
CAMLG,COX4I1,CAMLG+ctrl,0.9150029532285822,0.004420042,No,161,11485,K562
CAMLG,ESF1,CAMLG+ctrl,0.7293848098009053,0.038341403,No,161,11485,K562
CAMLG,TAZ,CAMLG+ctrl,0.7109534572720507,0.1654563,No,161,11485,K562
EMC3,CNST,EMC3+ctrl,0.037492350108557,0.7489948,Yes,153,11485,K562
EMC3,ZDHHC9,EMC3+ctrl,0.0405457160947257,0.8317461,Yes,153,11485,K562
EMC3,GDI1,EMC3+ctrl,0.0078248024160378,0.5091429,Yes,153,11485,K562
EMC3,ZNF688,EMC3+ctrl,0.757287582916182,0.23582435,No,153,11485,K562
EMC3,CMIP,EMC3+ctrl,0.1158800583217171,0.16104549,No,153,11485,K562
EMC3,SLC30A1,EMC3+ctrl,0.4722673037753194,0.27298307,No,153,11485,K562
NCOA4,TEN1,NCOA4+ctrl,0.0213462939239988,0.6270647,Yes,106,11485,K562
NCOA4,MTERF3,NCOA4+ctrl,0.0247991379906275,0.7488277,Yes,106,11485,K562
NCOA4,OXTR,NCOA4+ctrl,0.0038140403627991,0.5188273,Yes,106,11485,K562
NCOA4,FAM98C,NCOA4+ctrl,0.9053534713180604,-0.08361149,No,106,11485,K562
NCOA4,STRADA,NCOA4+ctrl,0.906474047138425,-0.1549244,No,106,11485,K562
NCOA4,DSN1,NCOA4+ctrl,0.8762451028017127,0.14560938,No,106,11485,K562
N6AMT1,PPP6R3,N6AMT1+ctrl,0.0108026044287124,0.6191566,Yes,75,11485,K562
N6AMT1,DPP8,N6AMT1+ctrl,0.0402614071337773,0.56882465,Yes,75,11485,K562
N6AMT1,CEP57L1,N6AMT1+ctrl,0.0433917907883193,0.5717218,Yes,75,11485,K562
N6AMT1,BOD1L1,N6AMT1+ctrl,0.8687038659795228,0.025654078,No,75,11485,K562
N6AMT1,VMA21,N6AMT1+ctrl,0.3175011051362982,0.18365026,No,75,11485,K562
N6AMT1,SMAP1,N6AMT1+ctrl,0.7740380985058339,0.047479033,No,75,11485,K562
DCTN3,CDH10,DCTN3+ctrl,0.0077224935334229,1.2178812,Yes,159,11485,K562
DCTN3,CLIP3,DCTN3+ctrl,0.0288527397387871,1.279357,Yes,159,11485,K562
DCTN3,BTN2A2,DCTN3+ctrl,0.025972369232866,1.0870149,Yes,159,11485,K562
DCTN3,SELENOT,DCTN3+ctrl,0.0060529062334585,0.22433487,No,159,11485,K562
DCTN3,GOSR1,DCTN3+ctrl,0.648610013722603,0.055951595,No,159,11485,K562
DCTN3,ERGIC2,DCTN3+ctrl,0.6528954875976546,0.03970395,No,159,11485,K562
ZC3H13,CTXN1,ZC3H13+ctrl,4.628209717021271e-06,0.69589424,Yes,112,11485,K562
ZC3H13,NRP2,ZC3H13+ctrl,0.0055954632396368,0.8049481,Yes,112,11485,K562
ZC3H13,PHLDA3,ZC3H13+ctrl,9.530264684771952e-10,0.6798025,Yes,112,11485,K562
ZC3H13,RNF25,ZC3H13+ctrl,0.772190286011694,-0.0077910423,No,112,11485,K562
ZC3H13,UBTD2,ZC3H13+ctrl,0.747550251598802,-0.0032894611,No,112,11485,K562
ZC3H13,PXDN,ZC3H13+ctrl,0.0139153769356278,0.2009823,No,112,11485,K562
XRCC5,GRN,XRCC5+ctrl,0.0019097418415234,0.5696343,Yes,56,11485,K562
XRCC5,ZDHHC24,XRCC5+ctrl,0.0011120676359614,0.9368255,Yes,56,11485,K562
XRCC5,PCCB,XRCC5+ctrl,0.0478184620666703,0.8556241,Yes,56,11485,K562
XRCC5,RNF14,XRCC5+ctrl,0.5881255462256663,-0.34435582,No,56,11485,K562
XRCC5,METTL16,XRCC5+ctrl,0.945634920700854,-0.20325255,No,56,11485,K562
XRCC5,RNF166,XRCC5+ctrl,0.8859309186425536,0.15367532,No,56,11485,K562
HUS1,ABLIM3,HUS1+ctrl,0.0015689194099332,0.5682622,Yes,230,11485,K562
HUS1,TRIQK,HUS1+ctrl,0.0416863286083816,0.5220978,Yes,230,11485,K562
HUS1,PRKAB2,HUS1+ctrl,0.0326257101431592,0.86050916,Yes,230,11485,K562
HUS1,FAM120A,HUS1+ctrl,0.0571428880410121,0.15186638,No,230,11485,K562
HUS1,BDNF,HUS1+ctrl,0.1181460849198103,0.27618396,No,230,11485,K562
HUS1,SHISA2,HUS1+ctrl,0.0598516143554442,0.66910625,No,230,11485,K562
NSF,LINC01278,NSF+ctrl,0.0481348993022246,1.2965913,Yes,65,11485,K562
NSF,PDCD4,NSF+ctrl,0.0130161462832873,0.80045295,Yes,65,11485,K562
NSF,TOMM70,NSF+ctrl,0.0118800070282491,0.60714567,Yes,65,11485,K562
NSF,SBF2,NSF+ctrl,0.6805803100056536,0.1520412,No,65,11485,K562
NSF,DHX33,NSF+ctrl,0.1032531133906475,0.46879566,No,65,11485,K562
NSF,PUS3,NSF+ctrl,0.1978351897437418,0.69254756,No,65,11485,K562
RNF8,ZMAT3,RNF8+ctrl,3.4824827494447936e-08,0.75611603,Yes,213,11485,K562
RNF8,CDKN1A,RNF8+ctrl,7.577413504672441e-11,0.85167503,Yes,213,11485,K562
RNF8,FAM210B,RNF8+ctrl,0.0190748313250002,0.50040364,Yes,213,11485,K562
RNF8,FOXK1,RNF8+ctrl,0.8618484640704452,0.019093037,No,213,11485,K562
RNF8,DDX60L,RNF8+ctrl,0.9761091294058614,-0.020590305,No,213,11485,K562
RNF8,AC018521.5,RNF8+ctrl,0.6642627678699013,0.16380525,No,213,11485,K562
FBXW7,G2E3,FBXW7+ctrl,0.0069525215938368,0.52016056,Yes,203,11485,K562
