source_a,source_b,target,condition,significance,log2fc,level,n_cells_condition,n_cells_control,cell_line
CBL,PTPN9,CACNA1S,CBL+PTPN9,1.0,0.0,No,234,7353,K562
ETS2,TGFBR2,PYROXD2,TGFBR2+ETS2,3.723362481785178e-12,1.1797799,Yes,275,7353,K562
ETS2,TGFBR2,AC079466.1,TGFBR2+ETS2,2.8436614459284472e-33,-1.0792203,Yes,275,7353,K562
ETS2,TGFBR2,AC020571.3,TGFBR2+ETS2,0.0248299862504575,0.95630765,Yes,275,7353,K562
ETS2,TGFBR2,BPGM,TGFBR2+ETS2,0.4846424694294301,-0.20791745,No,275,7353,K562
ETS2,TGFBR2,PGA5,TGFBR2+ETS2,0.8086127212825508,-0.987658,No,275,7353,K562
ETS2,TGFBR2,PSMA4,TGFBR2+ETS2,0.0398350679174099,-0.080999434,No,275,7353,K562
SGK1,TBX3,TEX30,SGK1+TBX3,2.6540887781786403e-39,-0.8495434,Yes,243,7353,K562
SGK1,TBX3,NPW,SGK1+TBX3,4.034437862876797e-08,-0.92571723,Yes,243,7353,K562
SGK1,TBX3,CDK1,SGK1+TBX3,6.021248528708817e-06,-0.59397566,Yes,243,7353,K562
SGK1,TBX3,SOX6,SGK1+TBX3,0.9466032976820572,0.9385524,No,243,7353,K562
SGK1,TBX3,ASB4,SGK1+TBX3,0.9971176312883095,-13.623043,No,243,7353,K562
SGK1,TBX3,RP1-111D6.3,SGK1+TBX3,1.0,0.0,No,243,7353,K562
MAP2K6,SPI1,GDF15,MAP2K6+SPI1,0.0001951588521593,-0.7991166,Yes,242,7353,K562
MAP2K6,SPI1,NHLRC3,MAP2K6+SPI1,0.002988777632944,-0.5439509,Yes,242,7353,K562
MAP2K6,SPI1,TRPM4,MAP2K6+SPI1,1.0235034057630533e-15,1.7225492,Yes,242,7353,K562
MAP2K6,SPI1,FOXN1,MAP2K6+SPI1,1.0,0.0,No,242,7353,K562
MAP2K6,SPI1,KMT2A,MAP2K6+SPI1,0.6973188469817786,-0.0356735,No,242,7353,K562
MAP2K6,SPI1,SOX21,MAP2K6+SPI1,1.0,0.0,No,242,7353,K562
PTPN12,UBASH3B,SLC7A8,UBASH3B+PTPN12,0.000287258651711,0.9799609,Yes,260,7353,K562
PTPN12,UBASH3B,HIPK2,UBASH3B+PTPN12,4.181662736629354e-07,0.7317318,Yes,260,7353,K562
PTPN12,UBASH3B,CTSL,UBASH3B+PTPN12,2.3221347486486206e-16,-0.839304,Yes,260,7353,K562
PTPN12,UBASH3B,LINC01139,UBASH3B+PTPN12,1.0,0.0,No,260,7353,K562
PTPN12,UBASH3B,RNASEL,UBASH3B+PTPN12,0.9917300150945172,0.19576454,No,260,7353,K562
PTPN12,UBASH3B,CELF4,UBASH3B+PTPN12,0.9910656940111136,-14.48756,No,260,7353,K562
FOXA1,FOXA3,PRSS57,FOXA3+FOXA1,4.260313793993652e-35,-1.7537638,Yes,181,7353,K562
FOXA1,FOXA3,SOCS1,FOXA3+FOXA1,0.0043075286137229,0.8919804,Yes,181,7353,K562
FOXA1,FOXA3,ICAM4,FOXA3+FOXA1,0.0170386917338542,0.67464304,Yes,181,7353,K562
FOXA1,FOXA3,CTA-31J9.2,FOXA3+FOXA1,1.0,0.0,No,181,7353,K562
FOXA1,FOXA3,PTGS1,FOXA3+FOXA1,0.5830566692554634,1.6934428,No,181,7353,K562
FOXA1,FOXA3,THUMPD3-AS1,FOXA3+FOXA1,0.0049593852836165,0.15889321,No,181,7353,K562
ETS2,IGDCC3,TUBB2B,ETS2+IGDCC3,0.0004608124240761,-1.4420741,Yes,365,7353,K562
ETS2,IGDCC3,PNRC1,ETS2+IGDCC3,0.0242540344542763,0.5812774,Yes,365,7353,K562
ETS2,IGDCC3,FAM19A2,ETS2+IGDCC3,0.0001328813912774,-1.3209913,Yes,365,7353,K562
ETS2,IGDCC3,CXCL10,ETS2+IGDCC3,1.0,0.0,No,365,7353,K562
ETS2,IGDCC3,CCDC190,ETS2+IGDCC3,0.992990956948271,-14.5957365,No,365,7353,K562
ETS2,IGDCC3,AC016907.3,ETS2+IGDCC3,0.975471898396797,-15.726313,No,365,7353,K562
IKZF3,MAP2K6,NEAT1,MAP2K6+IKZF3,1.390879321165638e-50,0.6276115,Yes,251,7353,K562
IKZF3,MAP2K6,PHGDH,MAP2K6+IKZF3,0.0171796699484641,-1.1196301,Yes,251,7353,K562
IKZF3,MAP2K6,AVP,MAP2K6+IKZF3,0.0003695795524887,1.0903881,Yes,251,7353,K562
IKZF3,MAP2K6,TMEM35,MAP2K6+IKZF3,1.0,0.0,No,251,7353,K562
IKZF3,MAP2K6,RP11-160O5.1,MAP2K6+IKZF3,0.8875632519573241,-0.954226,No,251,7353,K562
IKZF3,MAP2K6,GPR85,MAP2K6+IKZF3,0.537205764706033,-0.1755364,No,251,7353,K562
MAP2K3,SLC38A2,MTHFR,MAP2K3+SLC38A2,0.0335040968647685,-0.88498116,Yes,297,7353,K562
MAP2K3,SLC38A2,SMIM1,MAP2K3+SLC38A2,0.0177239028021948,-0.64944816,Yes,297,7353,K562
MAP2K3,SLC38A2,AC006262.5,MAP2K3+SLC38A2,2.1585541227901632e-09,-2.0423663,Yes,297,7353,K562
MAP2K3,SLC38A2,LINC00545,MAP2K3+SLC38A2,1.0,0.0,No,297,7353,K562
MAP2K3,SLC38A2,APOC4-APOC2,MAP2K3+SLC38A2,1.0,0.0,No,297,7353,K562
MAP2K3,SLC38A2,RP11-56B16.5,MAP2K3+SLC38A2,1.0,0.0,No,297,7353,K562
FOXA1,KLF1,PPP1R15A,KLF1+FOXA1,0.0003004868481643,-0.55891037,Yes,323,7353,K562
FOXA1,KLF1,YPEL5,KLF1+FOXA1,0.0046246942209345,0.9209869,Yes,323,7353,K562
FOXA1,KLF1,ID1,KLF1+FOXA1,3.3209135747874944e-23,1.4778333,Yes,323,7353,K562
FOXA1,KLF1,FAM9C,KLF1+FOXA1,0.996694229847,-12.786134,No,323,7353,K562
FOXA1,KLF1,LGALS2,KLF1+FOXA1,0.9570456348166856,-16.625717,No,323,7353,K562
FOXA1,KLF1,BLNK,KLF1+FOXA1,1.0,0.0,No,323,7353,K562
TBX2,TBX3,CPXM1,TBX3+TBX2,2.250842701076304e-24,2.622995,Yes,969,7353,K562
TBX2,TBX3,RP11-717F1.1,TBX3+TBX2,3.5731401181601494e-112,0.51058805,Yes,969,7353,K562
TBX2,TBX3,SMIM3,TBX3+TBX2,0.0136041437756131,1.6462264,Yes,969,7353,K562
TBX2,TBX3,AC006449.2,TBX3+TBX2,0.9945009596187616,-14.242531,No,969,7353,K562
TBX2,TBX3,SIGLEC5,TBX3+TBX2,1.0,0.0,No,969,7353,K562
TBX2,TBX3,KCNE4,TBX3+TBX2,0.9945009596187616,-14.215381,No,969,7353,K562
DUSP9,MAPK1,PIM1,DUSP9+MAPK1,4.273393696628879e-05,0.513621,Yes,247,7353,K562
DUSP9,MAPK1,NR2F2,DUSP9+MAPK1,1.4172334290180151e-06,0.5110282,Yes,247,7353,K562
DUSP9,MAPK1,LINC00467,DUSP9+MAPK1,8.032741916015172e-05,0.54971135,Yes,247,7353,K562
DUSP9,MAPK1,RP3-467K16.2,DUSP9+MAPK1,0.9912844633378785,-14.567251,No,247,7353,K562
DUSP9,MAPK1,PPP1R14D,DUSP9+MAPK1,0.9970947697562316,-14.048068,No,247,7353,K562
DUSP9,MAPK1,HSPA5,DUSP9+MAPK1,0.7426660771182233,0.004662037,No,247,7353,K562
CEBPE,KLF1,CD9,CEBPE+KLF1,0.0017628598793616,0.79470253,Yes,389,7353,K562
CEBPE,KLF1,CD53,CEBPE+KLF1,1.7301056246402283e-08,0.56875384,Yes,389,7353,K562
CEBPE,KLF1,LGALS1,CEBPE+KLF1,2.547346346428669e-20,0.6179072,Yes,389,7353,K562
CEBPE,KLF1,IRGC,CEBPE+KLF1,1.0,0.0,No,389,7353,K562
CEBPE,KLF1,MAP1A,CEBPE+KLF1,0.964677478051914,0.045769453,No,389,7353,K562
CEBPE,KLF1,PAQR7,CEBPE+KLF1,0.8758745940437828,0.21964598,No,389,7353,K562
OSR2,UBASH3B,SPARC,UBASH3B+OSR2,0.0098422800437596,0.5056472,Yes,677,7353,K562
OSR2,UBASH3B,PLEKHA2,UBASH3B+OSR2,0.0132014324764787,0.81519246,Yes,677,7353,K562
OSR2,UBASH3B,AC079466.1,UBASH3B+OSR2,1.2834736814582706e-25,-0.50940216,Yes,677,7353,K562
OSR2,UBASH3B,CORO6,UBASH3B+OSR2,0.9480533326265432,-0.4153328,No,677,7353,K562
OSR2,UBASH3B,AC010761.6,UBASH3B+OSR2,1.0,0.0,No,677,7353,K562
OSR2,UBASH3B,HIST2H2AC,UBASH3B+OSR2,0.0284930839162591,-0.23513854,No,677,7353,K562
UBASH3B,ZBTB25,NPW,UBASH3B+ZBTB25,3.8128427546675344e-06,-0.7791146,Yes,224,7353,K562
UBASH3B,ZBTB25,LCP2,UBASH3B+ZBTB25,0.031519951846175,-2.310031,Yes,224,7353,K562
UBASH3B,ZBTB25,AIF1,UBASH3B+ZBTB25,4.740486796103041e-12,-1.0740069,Yes,224,7353,K562
UBASH3B,ZBTB25,RP11-433M22.2,UBASH3B+ZBTB25,0.9667592608619516,-16.361166,No,224,7353,K562
UBASH3B,ZBTB25,RP11-553A10.1,UBASH3B+ZBTB25,0.9944583177757929,-13.952119,No,224,7353,K562
UBASH3B,ZBTB25,CRISP3,UBASH3B+ZBTB25,1.0,0.0,No,224,7353,K562
DUSP9,ETS2,CYP3A5,DUSP9+ETS2,0.0008134563337389,1.0538359,Yes,698,7353,K562
DUSP9,ETS2,SLC7A8,DUSP9+ETS2,2.2287559490733293e-34,1.5772113,Yes,698,7353,K562
DUSP9,ETS2,LST1,DUSP9+ETS2,0.0030544700002449,-0.8807571,Yes,698,7353,K562
DUSP9,ETS2,HIST1H2BG,DUSP9+ETS2,0.0936705691576477,-0.19077182,No,698,7353,K562
DUSP9,ETS2,RP11-7F17.5,DUSP9+ETS2,0.9952549403744806,-12.366104,No,698,7353,K562
DUSP9,ETS2,RP4-761J14.10,DUSP9+ETS2,0.9978653929401846,0.97094727,No,698,7353,K562
FOXL2,ZNF318,SH3BGRL,ZNF318+FOXL2,3.102005263146531e-08,0.70577383,Yes,197,7353,K562
FOXL2,ZNF318,PRSS57,ZNF318+FOXL2,6.669544113067449e-30,-1.4162322,Yes,197,7353,K562
FOXL2,ZNF318,CENPF,ZNF318+FOXL2,3.591742821754084e-11,-0.5338665,Yes,197,7353,K562
FOXL2,ZNF318,LGALS2,ZNF318+FOXL2,0.9661691863012692,-16.625717,No,197,7353,K562
FOXL2,ZNF318,RP11-96K19.2,ZNF318+FOXL2,0.9869848245510426,-15.214068,No,197,7353,K562
FOXL2,ZNF318,FAM101B,ZNF318+FOXL2,0.071780857076989,-0.74957657,No,197,7353,K562
CEBPE,SET,CEBPE,SET+CEBPE,1.208750711816435e-230,6.3076386,Yes,529,7353,K562
CEBPE,SET,ID1,SET+CEBPE,1.4421133107298613e-19,1.1700654,Yes,529,7353,K562
CEBPE,SET,CSF3R,SET+CEBPE,7.329877896922585e-05,1.4086592,Yes,529,7353,K562
CEBPE,SET,RP11-123O10.4,SET+CEBPE,1.0,0.0,No,529,7353,K562
CEBPE,SET,C10orf11,SET+CEBPE,0.0515406945520705,-0.1619873,No,529,7353,K562
CEBPE,SET,RP11-649G15.2,SET+CEBPE,0.9833014499548232,-14.732593,No,529,7353,K562
PTPN9,UBASH3B,PPP1R3E,UBASH3B+PTPN9,0.0494335658811392,0.86654663,Yes,282,7353,K562
PTPN9,UBASH3B,MEF2C,UBASH3B+PTPN9,2.391034980175645e-13,-0.5447335,Yes,282,7353,K562
PTPN9,UBASH3B,PDE4DIP,UBASH3B+PTPN9,3.236808520795219e-35,-0.8471289,Yes,282,7353,K562
PTPN9,UBASH3B,CTD-2501B8.1,UBASH3B+PTPN9,1.0,0.0,No,282,7353,K562
PTPN9,UBASH3B,RP11-481J13.1,UBASH3B+PTPN9,1.0,0.0,No,282,7353,K562
PTPN9,UBASH3B,FGD4,UBASH3B+PTPN9,0.7411622554921455,0.8978534,No,282,7353,K562
IGDCC3,ZBTB25,CPEB4,IGDCC3+ZBTB25,1.0889150499939226e-08,1.559968,Yes,99,7353,K562
IGDCC3,ZBTB25,HMMR,IGDCC3+ZBTB25,0.0102563915001284,-0.6988536,Yes,99,7353,K562
IGDCC3,ZBTB25,YPEL3,IGDCC3+ZBTB25,0.0001998138498134,1.2583516,Yes,99,7353,K562
IGDCC3,ZBTB25,FAM43A,IGDCC3+ZBTB25,0.7004032891637434,-0.30642748,No,99,7353,K562
IGDCC3,ZBTB25,RP11-431J24.2,IGDCC3+ZBTB25,1.0,0.0,No,99,7353,K562
IGDCC3,ZBTB25,CCL22,IGDCC3+ZBTB25,1.0,0.0,No,99,7353,K562
BAK1,KLF1,BAK1,KLF1+BAK1,1.3964489606150283e-77,2.1312034,Yes,323,7353,K562
BAK1,KLF1,PNMT,KLF1+BAK1,1.9651480436614046e-110,1.9773486,Yes,323,7353,K562
BAK1,KLF1,BST2,KLF1+BAK1,0.0001492242734742,0.8879247,Yes,323,7353,K562
BAK1,KLF1,GLRB,KLF1+BAK1,1.0,0.0,No,323,7353,K562
BAK1,KLF1,MSN,KLF1+BAK1,0.8700981907909088,0.010860443,No,323,7353,K562
BAK1,KLF1,CCNG2,KLF1+BAK1,0.536997614540716,-1.7958455,No,323,7353,K562
IER5L,LYL1,CRYAB,LYL1+IER5L,2.1900118186110296e-05,-0.9116361,Yes,547,7353,K562
IER5L,LYL1,ZNF83,LYL1+IER5L,0.0360077745809028,0.65614915,Yes,547,7353,K562
IER5L,LYL1,SDC2,LYL1+IER5L,0.0426932223660134,-1.4380841,Yes,547,7353,K562
IER5L,LYL1,CFAP58-AS1,LYL1+IER5L,0.983039122485302,-14.838556,No,547,7353,K562
IER5L,LYL1,FAM156A,LYL1+IER5L,0.983039122485302,-15.108133,No,547,7353,K562
IER5L,LYL1,TM4SF5,LYL1+IER5L,1.0,0.0,No,547,7353,K562
IGDCC3,MAPK1,ARHGEF6,IGDCC3+MAPK1,2.293212614023306e-06,1.6118686,Yes,293,7353,K562
IGDCC3,MAPK1,COL2A1,IGDCC3+MAPK1,1.3042217971875456e-07,-0.7455307,Yes,293,7353,K562
IGDCC3,MAPK1,BST2,IGDCC3+MAPK1,1.745192754979942e-40,2.4253607,Yes,293,7353,K562
IGDCC3,MAPK1,RP11-256L6.2,IGDCC3+MAPK1,1.0,0.0,No,293,7353,K562
IGDCC3,MAPK1,RPL3L,IGDCC3+MAPK1,0.9244009144652464,-18.461128,No,293,7353,K562
IGDCC3,MAPK1,SEPT7-AS1,IGDCC3+MAPK1,0.9743685173334012,0.7666025,No,293,7353,K562
CEBPA,JUN,SLC2A3,JUN+CEBPA,0.0004944962176677,-0.74629104,Yes,70,7353,K562
CEBPA,JUN,TLE4,JUN+CEBPA,0.025328973052854,1.8293024,Yes,70,7353,K562
CEBPA,JUN,ARHGEF6,JUN+CEBPA,8.13710096882334e-06,3.1223965,Yes,70,7353,K562
CEBPA,JUN,RGMA,JUN+CEBPA,0.9874809720038998,-16.456509,No,70,7353,K562
CEBPA,JUN,EGOT,JUN+CEBPA,1.0,0.0,No,70,7353,K562
CEBPA,JUN,APOD,JUN+CEBPA,0.9921754118540526,-15.496948,No,70,7353,K562
CEBPE,ZC3HAV1,HYAL3,ZC3HAV1+CEBPE,0.0124846994603291,0.56543446,Yes,346,7353,K562
CEBPE,ZC3HAV1,ZFP36L2,ZC3HAV1+CEBPE,1.0982002292383877e-06,0.683938,Yes,346,7353,K562
CEBPE,ZC3HAV1,MYO1F,ZC3HAV1+CEBPE,3.575934257770078e-06,1.6349843,Yes,346,7353,K562
CEBPE,ZC3HAV1,WSCD1,ZC3HAV1+CEBPE,1.0,0.0,No,346,7353,K562
CEBPE,ZC3HAV1,LINC01151,ZC3HAV1+CEBPE,1.0,0.0,No,346,7353,K562
CEBPE,ZC3HAV1,CYP27C1,ZC3HAV1+CEBPE,0.9795042142448808,-15.405699,No,346,7353,K562
UBASH3A,UBASH3B,PHGDH,UBASH3B+UBASH3A,0.0135240928507832,-0.8393228,Yes,426,7353,K562
UBASH3A,UBASH3B,ICAM4,UBASH3B+UBASH3A,0.0005820713901231,0.55505705,Yes,426,7353,K562
UBASH3A,UBASH3B,PLEKHO1,UBASH3B+UBASH3A,0.0004682246891248,-0.7499387,Yes,426,7353,K562
UBASH3A,UBASH3B,NIPSNAP3B,UBASH3B+UBASH3A,0.8444048167326641,0.3481598,No,426,7353,K562
UBASH3A,UBASH3B,TP53AIP1,UBASH3B+UBASH3A,1.0,0.0,No,426,7353,K562
UBASH3A,UBASH3B,COL18A1-AS1,UBASH3B+UBASH3A,0.9962287806817368,-12.059581,No,426,7353,K562
MAP2K3,MAP2K6,RNASET2,MAP2K3+MAP2K6,1.4095456354077216e-05,-0.5175048,Yes,458,7353,K562
MAP2K3,MAP2K6,BST2,MAP2K3+MAP2K6,0.0166966353116915,0.5214071,Yes,458,7353,K562
MAP2K3,MAP2K6,DCAF13,MAP2K3+MAP2K6,4.5248156085872447e-10,0.5086312,Yes,458,7353,K562
MAP2K3,MAP2K6,RP11-810P8.1,MAP2K3+MAP2K6,1.0,0.0,No,458,7353,K562
MAP2K3,MAP2K6,RP11-304M2.5,MAP2K3+MAP2K6,0.988293536912614,-14.416365,No,458,7353,K562
MAP2K3,MAP2K6,LINC00565,MAP2K3+MAP2K6,1.0,0.0,No,458,7353,K562
MAPK1,PRTG,KLHL24,MAPK1+PRTG,0.0196827266572582,0.9898417,Yes,380,7353,K562
MAPK1,PRTG,GAL,MAPK1+PRTG,1.024756119009398e-47,-0.7780579,Yes,380,7353,K562
MAPK1,PRTG,CH17-189H20.1,MAPK1+PRTG,1.3521262289166624e-06,1.0881147,Yes,380,7353,K562
MAPK1,PRTG,IL16,MAPK1+PRTG,0.8227240801917141,2.5934134,No,380,7353,K562
MAPK1,PRTG,RP11-521C20.5,MAPK1+PRTG,0.9964276280612266,-12.970998,No,380,7353,K562
MAPK1,PRTG,KCNK17,MAPK1+PRTG,0.8729511908164267,4.4918265,No,380,7353,K562
IKZF3,MAP2K3,CD99,MAP2K3+IKZF3,5.0908019211044865e-21,-0.667279,Yes,220,7353,K562
IKZF3,MAP2K3,PLEKHO1,MAP2K3+IKZF3,3.1837298376292238e-06,-2.1079543,Yes,220,7353,K562
IKZF3,MAP2K3,FNBP1,MAP2K3+IKZF3,0.003801345485412,-0.6298828,Yes,220,7353,K562
IKZF3,MAP2K3,RP11-18B16.2,MAP2K3+IKZF3,1.0,0.0,No,220,7353,K562
IKZF3,MAP2K3,RP11-326I11.3,MAP2K3+IKZF3,0.5321520203302756,1.0723019,No,220,7353,K562
IKZF3,MAP2K3,PNMA5,MAP2K3+IKZF3,0.9972532683104366,-13.198668,No,220,7353,K562
COL2A1,KLF1,PPIC,KLF1+COL2A1,2.568939776989233e-06,0.5344193,Yes,251,7353,K562
COL2A1,KLF1,CTSC,KLF1+COL2A1,5.81120125183177e-22,0.6382353,Yes,251,7353,K562
COL2A1,KLF1,YPEL5,KLF1+COL2A1,0.0018231048996234,0.8037162,Yes,251,7353,K562
COL2A1,KLF1,FAM167A,KLF1+COL2A1,1.0,0.0,No,251,7353,K562
COL2A1,KLF1,RP11-483I13.5,KLF1+COL2A1,0.4626978080320729,1.5027843,No,251,7353,K562
COL2A1,KLF1,HBE1,KLF1+COL2A1,0.5717076810390982,1.521358,No,251,7353,K562
OSR2,PTPN12,MPZL1,PTPN12+OSR2,5.6495771878915635e-118,1.5131371,Yes,283,7353,K562
OSR2,PTPN12,BHLHE40,PTPN12+OSR2,3.647736952061638e-07,1.1007309,Yes,283,7353,K562
OSR2,PTPN12,TTC9B,PTPN12+OSR2,0.0009057954285259,7.6608596,Yes,283,7353,K562
OSR2,PTPN12,APOL1,PTPN12+OSR2,0.9339273342975009,-0.06354761,No,283,7353,K562
OSR2,PTPN12,CTD-3154N5.1,PTPN12+OSR2,1.0,0.0,No,283,7353,K562
OSR2,PTPN12,RP11-136O12.2,PTPN12+OSR2,1.0,0.0,No,283,7353,K562
BAK1,TMSB4X,AC006262.5,TMSB4X+BAK1,1.84222136070051e-06,-1.3087413,Yes,267,7353,K562
BAK1,TMSB4X,TUBB2B,TMSB4X+BAK1,0.0243305717944775,-0.94634604,Yes,267,7353,K562
BAK1,TMSB4X,AC079466.1,TMSB4X+BAK1,6.185048076346624e-13,-0.5679982,Yes,267,7353,K562
BAK1,TMSB4X,RP11-327I22.5,TMSB4X+BAK1,1.0,0.0,No,267,7353,K562
BAK1,TMSB4X,SDF2L1,TMSB4X+BAK1,0.1076721884369436,-0.039636612,No,267,7353,K562
BAK1,TMSB4X,KRT33B,TMSB4X+BAK1,1.0,0.0,No,267,7353,K562
BPGM,SAMD1,TSC22D4,BPGM+SAMD1,3.2881677548141747e-06,0.7255726,Yes,240,7353,K562
BPGM,SAMD1,FMNL1,BPGM+SAMD1,0.0193193083300489,-0.70782495,Yes,240,7353,K562
BPGM,SAMD1,SMIM1,BPGM+SAMD1,0.0007663601869012,0.7993518,Yes,240,7353,K562
BPGM,SAMD1,FFAR4,BPGM+SAMD1,0.9971349131128712,-13.245756,No,240,7353,K562
BPGM,SAMD1,RP11-158D2.2,BPGM+SAMD1,1.0,0.0,No,240,7353,K562
BPGM,SAMD1,MAP1LC3B,BPGM+SAMD1,4.998786913407964e-05,-0.32998943,No,240,7353,K562
CEBPE,ETS2,DSC2,ETS2+CEBPE,0.0030634034048954,0.88252807,Yes,320,7353,K562
CEBPE,ETS2,IKZF2,ETS2+CEBPE,0.0061472929733792,2.525247,Yes,320,7353,K562
CEBPE,ETS2,ARHGAP30,ETS2+CEBPE,0.0011936066234244,5.7786703,Yes,320,7353,K562
CEBPE,ETS2,ADORA3,ETS2+CEBPE,0.940836261018928,2.7987442,No,320,7353,K562
CEBPE,ETS2,TMEM9B-AS1,ETS2+CEBPE,0.999835448252467,0.6075268,No,320,7353,K562
CEBPE,ETS2,RP11-596D21.1,ETS2+CEBPE,0.9635952814417134,-0.8231678,No,320,7353,K562
FOXL2,POU3F2,PNRC1,POU3F2+FOXL2,4.327824472737227e-05,1.3252633,Yes,286,7353,K562
FOXL2,POU3F2,FAM89A,POU3F2+FOXL2,1.715106990043399e-12,-0.691078,Yes,286,7353,K562
FOXL2,POU3F2,ACSM3,POU3F2+FOXL2,3.7082813590199886e-12,1.1858692,Yes,286,7353,K562
FOXL2,POU3F2,COL9A2,POU3F2+FOXL2,0.4624594070038432,1.3364985,No,286,7353,K562
FOXL2,POU3F2,STEAP3-AS1,POU3F2+FOXL2,0.9968818023663516,-13.131266,No,286,7353,K562
FOXL2,POU3F2,RP11-25G10.2,POU3F2+FOXL2,1.0,0.0,No,286,7353,K562
DUSP9,PRTG,OPTN,DUSP9+PRTG,0.041572226168231,3.1352696,Yes,238,7353,K562
DUSP9,PRTG,COLGALT2,DUSP9+PRTG,3.605947101563339e-05,-2.1458435,Yes,238,7353,K562
DUSP9,PRTG,RNF213,DUSP9+PRTG,0.0008850789847789,1.0683875,Yes,238,7353,K562
DUSP9,PRTG,PSMB2,DUSP9+PRTG,1.8296354151755584e-17,-0.27051806,No,238,7353,K562
DUSP9,PRTG,PRDX2,DUSP9+PRTG,0.3203414197437355,-0.03241849,No,238,7353,K562
DUSP9,PRTG,RP11-409I10.2,DUSP9+PRTG,0.997146500118218,-12.420417,No,238,7353,K562
IKZF3,MAPK1,PCNA,MAPK1+IKZF3,5.422273149258927e-11,-0.5856096,Yes,264,7353,K562
IKZF3,MAPK1,ZMAT3,MAPK1+IKZF3,0.027089706071176,0.5714457,Yes,264,7353,K562
IKZF3,MAPK1,FOXL2,MAPK1+IKZF3,0.0001178191756806,-0.74275994,Yes,264,7353,K562
IKZF3,MAPK1,CTSW,MAPK1+IKZF3,0.9255353314106474,3.3858004,No,264,7353,K562
IKZF3,MAPK1,RP1-138B7.6,MAPK1+IKZF3,1.0,0.0,No,264,7353,K562
IKZF3,MAPK1,RP4-548D19.3,MAPK1+IKZF3,0.9342520636060948,0.123095036,No,264,7353,K562
ELMSAN1,LHX1,IGFBP4,LHX1+ELMSAN1,0.0372597302779131,-1.1863122,Yes,547,7353,K562
ELMSAN1,LHX1,MYO1F,LHX1+ELMSAN1,0.0008886073451948,1.1649923,Yes,547,7353,K562
ELMSAN1,LHX1,MS4A4A,LHX1+ELMSAN1,3.389010375481181e-32,1.2512671,Yes,547,7353,K562
ELMSAN1,LHX1,STK38L,LHX1+ELMSAN1,0.4471697013103819,0.03643012,No,547,7353,K562
ELMSAN1,LHX1,RP11-968A15.2,LHX1+ELMSAN1,0.9745610787929592,-15.742343,No,547,7353,K562
ELMSAN1,LHX1,SNX20,LHX1+ELMSAN1,1.0,0.0,No,547,7353,K562
KIF18B,KIF2C,NPW,KIF18B+KIF2C,0.0056782045453864,-0.70737326,Yes,83,7353,K562
KIF18B,KIF2C,CREG1,KIF18B+KIF2C,2.0574146120836967e-05,0.79376185,Yes,83,7353,K562
KIF18B,KIF2C,CTSL,KIF18B+KIF2C,1.3771363507164711e-06,-0.80053234,Yes,83,7353,K562
KIF18B,KIF2C,NFASC,KIF18B+KIF2C,0.6339955165311333,3.1984696,No,83,7353,K562
KIF18B,KIF2C,RP11-83A24.2,KIF18B+KIF2C,0.5655249993385996,0.3684914,No,83,7353,K562
KIF18B,KIF2C,RP11-174G6.1,KIF18B+KIF2C,1.0,0.0,No,83,7353,K562
BCL2L11,TGFBR2,FMNL1,BCL2L11+TGFBR2,0.0330808819702024,-0.5598247,Yes,382,7353,K562
